id,author,author_channel_id,comment,likes,published_at,parent_id,video_title
UgxtJuC0mmBDTwhFIf14AaABAg,@JamieP-w1h,UCgN2dTH9UDhmtm5QEmOAT1g,15:37 I never knew that mr. Beast curses  “and you can’t catch for shit”,0,2026-07-04T13:24:10Z,,AMP EXTREME OBSTACLE COURSE WITH MRBEAST
UgyO-zOFOecjgaSivbV4AaABAg,@hamdamuktar689,UC638m72dQoswNjHX0xKm2GQ,When Duke fell my heart like like broke I’m not gonna lie like it went bad,0,2026-07-02T21:25:57Z,,AMP EXTREME OBSTACLE COURSE WITH MRBEAST
UgzbyFaLj6H1a3B-kRl4AaABAg,@WilliamsFeulefack,UCrxq7RnrBCBUrEDS6vwcXXw,I saw aas of fanum,0,2026-06-24T15:27:30Z,,AMP EXTREME OBSTACLE COURSE WITH MRBEAST
UgwB_P8IPKNSwnJlkKN4AaABAg,@HIGHR-w3m,UCeIvv9Fuglk8LKSplZpCbPA,That’s the first summer I heard MrBeast swear,0,2026-06-22T06:42:52Z,,AMP EXTREME OBSTACLE COURSE WITH MRBEAST
UgxQFE6H7Ih2YKqNtXZ4AaABAg,@kellengriffin254,UCxW9lt0MeJJfuWzuXEA4TeA,Mr beast Wipeout solid,0,2026-06-22T00:00:38Z,,AMP EXTREME OBSTACLE COURSE WITH MRBEAST
UgxiSpmhzRmCDixbFTN4AaABAg,@beestoff5500,UCq2Rw4XtKxAUGBCFzgBUyvw,5:44 this made the food stuck in my throat 💀,1,2026-06-16T16:27:34Z,,AMP EXTREME OBSTACLE COURSE WITH MRBEAST
UgzKWLhks_leLPireTB4AaABAg,@viciouswolf567,UCivEiqI-Qs_U0BgYYAg2O5Q,Duke is hot af,0,2026-06-14T15:37:22Z,,AMP EXTREME OBSTACLE COURSE WITH MRBEAST
UgxG7ngGOM2sbAqI_8F4AaABAg,@J-en_ni_fer,UCpmBXXkhww74Ne4ibAq1LGw,Davis and fanum walking on air 😂,0,2026-06-07T19:07:42Z,,AMP EXTREME OBSTACLE COURSE WITH MRBEAST
UgyxtinlojOYQVhLArJ4AaABAg,@MiaTrevino-x3c,UCrU0KcSPppI0iiQIm48jMHA,Did Mr. Beast said shit that’s crazy.,0,2026-06-07T18:10:25Z,,AMP EXTREME OBSTACLE COURSE WITH MRBEAST
UgwlSQ5UgsGjTAtDQ9l4AaABAg,@AsliiAhmed-k8g1r,UCwIVQvU753I70Eaa8CQG_Nw,Please Giv money bank account number 1000389027441,0,2026-06-05T08:16:39Z,,AMP EXTREME OBSTACLE COURSE WITH MRBEAST
UgxgyQES9PonkhGEY7N4AaABAg,@AsliiAhmed-k8g1r,UCwIVQvU753I70Eaa8CQG_Nw,Please Giv money bank account number 1000389027441 please please 🙏 🙏,0,2026-06-05T08:16:08Z,,AMP EXTREME OBSTACLE COURSE WITH MRBEAST
Ugwlk9vlIMoqIidYg6R4AaABAg,@CeCe_Breaking_Cycles_Of_Trauma,UCLHw5o9JUAH643OwyuEOXqA,Mr Beast is disgusting and so are the ass kissers who are defending him. 😡🤬,0,2026-06-05T06:25:59Z,,AMP EXTREME OBSTACLE COURSE WITH MRBEAST
UgzdP2wU-yIfoFiJnJ14AaABAg,@Txz-p3h,UCOjeHFfpgUeahWTyqm_XCyg,That anime training came to  used,0,2026-06-05T00:32:43Z,,AMP EXTREME OBSTACLE COURSE WITH MRBEAST
Ugxxjb-6u18Rppktjut4AaABAg,@zullygarcia2077,UCmnRYfFsrSdmY04ncKPvl1Q,Jelly milk 😂,0,2026-06-04T00:38:30Z,,AMP EXTREME OBSTACLE COURSE WITH MRBEAST
UgwfcfyvIPoc3zsVZmF4AaABAg,@NarendraKumar-pd2vy,UCgJ6hp3nm8SZB9ggXamNgfw,15:35 and u can't catch for shit,0,2026-06-02T12:20:17Z,,AMP EXTREME OBSTACLE COURSE WITH MRBEAST
UgwZNPFnnOBxMTtdLHV4AaABAg,@ThurstonHoward-c5j,UCqLYgCRgNnIBr0CfiEGRjnQ,Mr beast cruses 😮???????,0,2026-05-28T16:41:42Z,,AMP EXTREME OBSTACLE COURSE WITH MRBEAST
Ugza8EWGwJzblGd6bhB4AaABAg,@charlesoliveirafan-s8e,UCqcumk22a-y1xKlm93GyQzA,Mr Beast cursed😂😂,1,2026-05-24T20:55:37Z,,AMP EXTREME OBSTACLE COURSE WITH MRBEAST
UgwvzsutPP6IDQcB5Yl4AaABAg,@maitecara,UCd3c4jDHneodzaLm8p7ZRhQ,￼ Where’s tota and Ray ￼,0,2026-05-24T08:33:49Z,,AMP EXTREME OBSTACLE COURSE WITH MRBEAST
Ugzz7b8dbmxRdx9mght4AaABAg,@StephanieFarwell,UCLySNvufAMfyQffm5KSWz4Q,Why you got black folks doing that and you have the white folks doing easy shit,0,2026-05-16T19:48:58Z,,AMP EXTREME OBSTACLE COURSE WITH MRBEAST
Ugzb5roBptq4J5eAf-R4AaABAg,@reinaAndrob562,UCc8v2XPTVgskg2Xm-AiRsUQ,Only duke,0,2026-05-06T03:48:22Z,,AMP EXTREME OBSTACLE COURSE WITH MRBEAST
UgyuFW3pTmAZuT-oqhR4AaABAg,@PeaceLoveRobbie,UCNK82fUKTGnyN4WxOkNZ0OA,"I only know Mr. Beast and Kai Cennat before this, but when they said, ""Aye yo, Phantom!"" I was like ""Phantom Tax!!!"" Your reputation preceeds you, sir.",0,2026-05-06T03:43:03Z,,AMP EXTREME OBSTACLE COURSE WITH MRBEAST
Ugxyxbjkf5TNuxQp6sh4AaABAg,@hamburglar_robblerobble,UC0iHjo5nPkUGMzALwMvX73w,This is technically Wipeout,0,2026-05-04T20:42:59Z,,AMP EXTREME OBSTACLE COURSE WITH MRBEAST
Ugxf3TaRbmgceCGUqtF4AaABAg,@Idk-p7i4n,UCDDjCleNSPl7T0tmDuAb07g,"Bro, you have shoes on that’s not fair",0,2026-04-27T04:07:55Z,,AMP EXTREME OBSTACLE COURSE WITH MRBEAST
UgyUtCUSDJsoLmjGh1d4AaABAg,@pantaloon999,UCkogGSMeLXImhQstTRT4P9Q,thats crazy i didnt expect that at all ngl hell yeah Kai lmfao,0,2026-04-27T01:51:20Z,,AMP EXTREME OBSTACLE COURSE WITH MRBEAST
Ugxc4JRf3K6t1B2v99J4AaABAg,@p0isontr3e,UC0eD-IyziIh2LN1_xozFq3Q,13:35 mrbeast cussed,0,2026-04-26T21:50:26Z,,AMP EXTREME OBSTACLE COURSE WITH MRBEAST
UgwztxkO7dVsQ_ZCaxV4AaABAg,@Bafuyourboo,UCDYuJejVopyVqoyoH6o6aBQ,Kai ate and left o crimbs,0,2026-04-25T12:20:17Z,,AMP EXTREME OBSTACLE COURSE WITH MRBEAST
UgxEDUVKsWQNTM-Jmrd4AaABAg,@mujibw5655,UCB5I0TDEkSxbiMkoXqynG4A,Bro really didn't got Tota 😕 here 😪,0,2026-04-24T02:52:03Z,,AMP EXTREME OBSTACLE COURSE WITH MRBEAST
UgwSuem_gGuWrWGugdt4AaABAg,@SyncAmber,UCFcst_xUeh_Kgvk5xkkrrZQ,Wheres ninja turtle?,0,2026-04-23T02:31:20Z,,AMP EXTREME OBSTACLE COURSE WITH MRBEAST
Ugydrlia_EQK9Tihe7p4AaABAg,@yazmingood964,UCheGjmD5dPGF3ER2s79T5OQ,I subscribe to you to you,1,2026-04-22T01:41:50Z,,AMP EXTREME OBSTACLE COURSE WITH MRBEAST
UgykujAjo8vHr2UReDV4AaABAg,@pnwflowers,UCnw5Ghg--NJdZOalntF_4AA,Who's that random guy in the blue,0,2026-04-20T04:35:34Z,,AMP EXTREME OBSTACLE COURSE WITH MRBEAST
UgxLHYzifdHXcP-2jv54AaABAg,@Ashley-eq5dw,UCxEeKO-L8N_YiF5ZYEV6Qkg,4:47,0,2026-04-16T22:34:59Z,,AMP EXTREME OBSTACLE COURSE WITH MRBEAST
UgyvtYTIn9JUDjm-CAl4AaABAg,@BeutaWelyam,UC1ecVa4h9SirgSKVyTgbb3w,Bro mr beast said Shi,0,2026-04-16T06:34:39Z,,AMP EXTREME OBSTACLE COURSE WITH MRBEAST
UgyL-jCHMVVxHiBqObh4AaABAg,@Emma-o1t6o,UCcV9aPxaY1JXcTTuTtmTuow,😅 23:30 the noises LMAO,0,2026-04-15T17:40:21Z,,AMP EXTREME OBSTACLE COURSE WITH MRBEAST
UgxvE-dirR3lsqaCuil4AaABAg,@RodenTauli,UCr7ImJ_dhuZj4EcgilnjkAg,Hey Mr beast why not put Kai cenat I show speed Logan Paul and the others like the big for head guy and also that atletgic guys that on black,0,2026-04-14T12:21:34Z,,AMP EXTREME OBSTACLE COURSE WITH MRBEAST
UgxiUhXikMXQxCnGGFl4AaABAg,@FIREOFFICERSDESK-wk5el,UCbti8ra8-NomxhT_tqDBxrA,Yooo its on roblox,0,2026-04-12T16:39:21Z,,AMP EXTREME OBSTACLE COURSE WITH MRBEAST
Ugz00VReQzHYPJC36JN4AaABAg,@kidkaboom3567,UCGfFS9BlsdR8j09A3w9WaDw,Why beast glazing duke  “I think will do it first try “ 😂,0,2026-04-12T11:29:00Z,,AMP EXTREME OBSTACLE COURSE WITH MRBEAST
UgwbJ56i1F9rA6zqQsZ4AaABAg,@Beau-u7g,UCoVdVc5iDQzGkG_rz2HOJMQ,Kai,0,2026-04-12T00:39:06Z,,AMP EXTREME OBSTACLE COURSE WITH MRBEAST
UgxClhlM5RsFz_DiCVp4AaABAg,@Yourfamusweirdo2026,UCUgqomqDsA-4u9Z1K3RNONA,You can't catch for s***,0,2026-04-11T16:29:04Z,,AMP EXTREME OBSTACLE COURSE WITH MRBEAST
Ugz8squipwqz-sic1FR4AaABAg,@vivankajavivankaja5061,UC8mCWoCC3Dqvot5u24uh_cw,Ogg,0,2026-04-09T19:16:49Z,,AMP EXTREME OBSTACLE COURSE WITH MRBEAST
Ugwngsl710eVNogPqhV4AaABAg,@vivankajavivankaja5061,UC8mCWoCC3Dqvot5u24uh_cw,Ogg,0,2026-04-09T19:16:35Z,,AMP EXTREME OBSTACLE COURSE WITH MRBEAST
UgwDIVG8uwqmyh_7NcF4AaABAg,@PeanutVr-s7n,UCy8o-8iG7wQ6MbQPDN8sdKA,The SHUT UP NIGGA WE AN’T FRIENDS WAS CRAZY,0,2026-04-08T03:28:34Z,,AMP EXTREME OBSTACLE COURSE WITH MRBEAST
Ugxfa_-inJeH_4qTM1l4AaABAg,@Antonia-j9u1n,UC3enLMfveWjNRBncRGIa27Q,😂😂😂😂😂😂😂,1,2026-04-08T01:00:26Z,,AMP EXTREME OBSTACLE COURSE WITH MRBEAST
UgwHe-1p5mehHj_x2614AaABAg,@leannathomas-f7x,UCwrjAxBmIR4pKkBaFKZ9cmQ,SHORTY MAKE IT ON HIS FIRST TRY,0,2026-04-07T03:36:51Z,,AMP EXTREME OBSTACLE COURSE WITH MRBEAST
UgwI8-ZUTfMn-x9cbnh4AaABAg,@Onlineearningslead,UC_oBg46IH88dT-f1iO7VQzA,My best you didn't create the course man. We done watching day off coupon winning uk softies yapping all over it when I was 3 to or something,0,2026-04-06T19:34:03Z,,AMP EXTREME OBSTACLE COURSE WITH MRBEAST
UgzVUO25nCa0O0dRUiB4AaABAg,@henriotelasongo,UCdUi53Ng6SwSQ8V-9W2jrbQ,So great,0,2026-04-05T11:30:18Z,,AMP EXTREME OBSTACLE COURSE WITH MRBEAST
UgyfBn7JjSlUSXIS4gZ4AaABAg,@Awesomesauce2024,UCwd7lrDLKGkidVoRqpy2Low,First time hearing MrBeast caught on camera 15:36,0,2026-04-04T08:56:54Z,,AMP EXTREME OBSTACLE COURSE WITH MRBEAST
UgxgL61hkXu2knRsWyV4AaABAg,@beenishshakeel4961,UCr6e4GD1vJtRnIJ86wjZIqA,Mr. Beast glazing  Duke is crazy (i do too),0,2026-04-03T15:28:24Z,,AMP EXTREME OBSTACLE COURSE WITH MRBEAST
UgwbHDWWJytfrdHk7hZ4AaABAg,@Skz_kings_of_kpop,UCbXm7CNAowhe5eZDpL5BABA,"What people don’t understand is that they’re holding brooms meaning that their shifts were most likely over
It looks like the end of the day during or after cleanup there’s no safety or health hazards there",0,2026-04-02T14:32:54Z,,AMP EXTREME OBSTACLE COURSE WITH MRBEAST
Ugxl888e_EXPZIEAsQt4AaABAg,@Sau12Mkl,UCfIyIM4pbU7UIIzmIFpSN1w,W Kai speed,0,2026-04-01T08:09:46Z,,AMP EXTREME OBSTACLE COURSE WITH MRBEAST
UgxdANXuETaVtw3jB754AaABAg,@Shenny4lifeT-T,UCAqzlfew49J3_pIta7J1SlA,21:42 bru duke already aura farmed on everyone's ass and now he got me weak,0,2026-03-31T04:03:10Z,,AMP EXTREME OBSTACLE COURSE WITH MRBEAST
UgwghWs4yqz6Q_mnsl14AaABAg,@Playfulcloud76,UCtY-Pjz28LNqjgVDkVYB6Jg,“Mr beast you can’t throw for shit” and the “jimmy:you can’t catch for shit” best moment ever,0,2026-03-30T01:22:06Z,,AMP EXTREME OBSTACLE COURSE WITH MRBEAST
UgxWFa0pBAHcj57v0-Z4AaABAg,@bagchasingscratch3907,UCA74Q40VZ_1vRjbyxXh9Kxg,Agent need a hair transplant he look like saw when parts his dreads lol,0,2026-03-25T01:35:49Z,,AMP EXTREME OBSTACLE COURSE WITH MRBEAST
UgxtwKIFGjNNbd_pmql4AaABAg,@Vgu-w9x2i,UCnH4nZmSp5uN_XRO3roxUUQ,Beast send me 10000000$,0,2026-03-24T22:50:57Z,,AMP EXTREME OBSTACLE COURSE WITH MRBEAST
UgxDTXwR0lNqFL_kU_x4AaABAg,@LukePriest-b9e,UCxfBX81dwJJJC1qL3yjeP5A,Glazing duke,0,2026-03-20T18:41:52Z,,AMP EXTREME OBSTACLE COURSE WITH MRBEAST
UgxOJYowU8GILzH7cWV4AaABAg,@viviancolette,UCwTPDDOka4AIGNwIfhM-U4A,"Fantastic explanation, thank you!",0,2026-03-18T16:13:20Z,,AMP EXTREME OBSTACLE COURSE WITH MRBEAST
UgxYepbUcBuESVP4FC14AaABAg,@J5Crazy,UChEIkXvMTY5hLVq0DiG-HOg,"Duke: Mr beast u can't throw for shit
Mr beast: and u can't catch for shit😂😂😂😂😂😂",0,2026-03-18T04:09:04Z,,AMP EXTREME OBSTACLE COURSE WITH MRBEAST
UgzDx6IcAwU2r27WwFd4AaABAg,@J5Crazy,UChEIkXvMTY5hLVq0DiG-HOg,9:07 for the people who don't know or keep saying that's a Spiderman crawl. What duke did was a bear crawl something football players do in practice.,0,2026-03-18T04:02:42Z,,AMP EXTREME OBSTACLE COURSE WITH MRBEAST
UgxrHhf0U03H-yjOyb94AaABAg,@StankaIvanova-pl8zs,UCKGyWh4jNDslkTqNwHSr0uQ,Plis give me money  20000,0,2026-03-16T13:25:03Z,,AMP EXTREME OBSTACLE COURSE WITH MRBEAST
UgyxhIi1r1-8rIsoghp4AaABAg,@Kemaree-t4c5i,UCBbsCPSxTVVs3-yEcsYa4Ng,Kai with the aura ending,0,2026-03-14T16:41:22Z,,AMP EXTREME OBSTACLE COURSE WITH MRBEAST
Ugxv7IzQq3abyuFZerx4AaABAg,@remmymwelwa1147,UCzJJcou7VjQ0599D-Sj_QOQ,speed speed !!!!!,0,2026-03-13T08:22:41Z,,AMP EXTREME OBSTACLE COURSE WITH MRBEAST
UgwCX7TsV6G-_Fye2PB4AaABAg,@lilrobrob,UCGK6WXA3lPG4yg6nWfmBYdw,Now it’s ap without Kai,0,2026-03-12T23:02:27Z,,AMP EXTREME OBSTACLE COURSE WITH MRBEAST
Ugyw2RMZPpOzCyVHDQN4AaABAg,@Anaily-c9w,UC9VLAmiI4KkA0Wpp2ZRAv3A,20:01 not me.beast glazing duke Dennis,0,2026-03-12T09:38:26Z,,AMP EXTREME OBSTACLE COURSE WITH MRBEAST
Ugx5IdWbkKz5km2M1Nt4AaABAg,@gamerhollic8,UCxrt60dGX11eK7rhbbXL0PQ,the end 😂😂,0,2026-03-12T03:27:40Z,,AMP EXTREME OBSTACLE COURSE WITH MRBEAST
UgyaJfwmRHO9Z0Uy8lp4AaABAg,@KerimMehanović-q4f,UCnKtiLlvHjPz32wwoRVhLWg,Insane that mr beast curses,0,2026-03-09T22:26:05Z,,AMP EXTREME OBSTACLE COURSE WITH MRBEAST
UgxmiJ-SqqMATYHgSRB4AaABAg,@MasonMercado-w2j,UCO4ekS3-_bLqpccrBIgZc2Q,Mr beast cusing is funniest thing i seen,0,2026-03-09T07:33:22Z,,AMP EXTREME OBSTACLE COURSE WITH MRBEAST
UgwccZ6YnVmYMrxQFWZ4AaABAg,@MonzoMothibefrancina,UCjK-JVGl-whlRyoyVcTpcxw,Can I have some chocolate too😅,0,2026-03-07T20:56:12Z,,AMP EXTREME OBSTACLE COURSE WITH MRBEAST
Ugw6G7Rb6x69d8B_nkt4AaABAg,@AiryoonRussell,UCCtkoPaIkuvbbsIfhH0tHUw,Plssss give me one im your biggest fan and im also needing money😢,0,2026-03-06T02:43:28Z,,AMP EXTREME OBSTACLE COURSE WITH MRBEAST
UgxA7--Tls9cK94bG5d4AaABAg,@NazareneRyam,UCkefIW-aCYHncoTkmE37-UA,This was damn crazy😂 Kai,0,2026-03-04T11:46:39Z,,AMP EXTREME OBSTACLE COURSE WITH MRBEAST
UgxaIC2JRGXtfMeNfG94AaABAg,@IndiaRose-yq4lu,UCjyPC-929PIitfLLSf4OLGg,2026 anybody . 😂😂😂😂😂 I’m crying,3,2026-03-04T07:26:09Z,,AMP EXTREME OBSTACLE COURSE WITH MRBEAST
UgxmtRHEhe9f5Jz9LEJ4AaABAg,@michaelomara4304,UCJD-W2umzkVnFhSkslOvESQ,Hey Jimmy I've been a fan and a sponsor for a long time I watched a lot of your videos this is literally the first time I've ever heard you cuss way to go buddy,0,2026-02-26T05:45:26Z,,AMP EXTREME OBSTACLE COURSE WITH MRBEAST
UgzZOI8isNfqOgOQlcF4AaABAg,@Kingston-manning,UC178qHA9S4GTQQwHdAYKiRA,2:03 KAI WITH THE HUH HUH HAAAAAAAAAAAAAAAA,0,2026-02-25T21:39:19Z,,AMP EXTREME OBSTACLE COURSE WITH MRBEAST
UgwP5JTHuN1Vb96Lan94AaABAg,@Cult3re3,UC5F0RJFfRk9aKo9i3KlTMVA,"""lets see if he can swim"" MRBEAST WAT YOU MEANNN",0,2026-02-25T15:51:36Z,,AMP EXTREME OBSTACLE COURSE WITH MRBEAST
UgxMbVrEeQymzsgWfo94AaABAg,@JoblessEdits88,UCvPABAR-C-AaapcU2HAaFBg,12:16 me beast did the math wrong there only 100,0,2026-02-24T11:02:45Z,,AMP EXTREME OBSTACLE COURSE WITH MRBEAST
UgwO8pEGczmi7tOaRdV4AaABAg,@NastyCash-501,UCSnG84hD0vk-mJfWx-fGFgA,I can do this,0,2026-02-23T01:04:20Z,,AMP EXTREME OBSTACLE COURSE WITH MRBEAST
UgwJ58LKu_29l9_VR3h4AaABAg,@Kingston-manning,UC178qHA9S4GTQQwHdAYKiRA,Not Mr beast saying balls 8:15,2,2026-02-22T22:13:58Z,,AMP EXTREME OBSTACLE COURSE WITH MRBEAST
UgzFDKthlgsyyHrT-_h4AaABAg,@ZoeKeyes,UCuELfJwi7ydSfC4FJheBMhg,Duke had it,0,2026-02-18T18:31:54Z,,AMP EXTREME OBSTACLE COURSE WITH MRBEAST
UgztYKp6Rv1ZLPDuZIp4AaABAg,@Thechargdud,UCnA9RlxFQF8p3wwUN5klb2A,Yet Mac still did it with a gigantic Mrbeast bar on his back. (in the video he was in),0,2026-02-09T16:26:07Z,,AMP EXTREME OBSTACLE COURSE WITH MRBEAST
Ugzeyl3Xrmx5y9hOjBt4AaABAg,@kharismahall-o1i,UC4itvPEMC5X9bIuJOcMPkEA,I want the cash,0,2026-02-09T03:22:49Z,,AMP EXTREME OBSTACLE COURSE WITH MRBEAST
Ugwf0YThhuNyLzu5MIJ4AaABAg,@omgistheredgazefromlimbcomp,UCEu0CFMyz6ZVFjePrXS3zBA,That aura loss finna gonna follow unc till the ends of time,0,2026-02-08T17:32:40Z,,AMP EXTREME OBSTACLE COURSE WITH MRBEAST
UgxkS7MpDP1hvrm1sxV4AaABAg,@deejaytee6539,UCAaXgcmjKJCqvURKhGYs-cg,Dam agent00 forehead is massive probably 12finger space  more worst then KSI forehead,0,2026-02-07T08:42:32Z,,AMP EXTREME OBSTACLE COURSE WITH MRBEAST
UgwT6sJNFYoR-z2szj54AaABAg,@Funnymonke-l1v,UCCJZCwB2MJgel4P-XQOKPRg,Cool,0,2026-02-04T19:44:30Z,,AMP EXTREME OBSTACLE COURSE WITH MRBEAST
Ugz0HSSLnAihJuU_8O54AaABAg,@Phantomaxolotl0918,UCwbHHxf2nT5RJWEEixNff-Q,3:30 there was a bug on jimmy's arm,0,2026-02-03T22:56:36Z,,AMP EXTREME OBSTACLE COURSE WITH MRBEAST
UgxJaS7HIef2z9fUPg14AaABAg,@DrewentGhost,UC7PRUFE6z4ci3vAjXLxVOAg,Who else thought duke was finna finna win????? 🤔🤔🤔🤔,1,2026-02-01T21:51:05Z,,AMP EXTREME OBSTACLE COURSE WITH MRBEAST
UgyDES5KsjtlA5blWhd4AaABAg,@MartaKamberovic-s7p,UC5mNqv6l78ERmq5puvJIBJg,If tota was here he would do this in 4m,0,2026-02-01T20:10:27Z,,AMP EXTREME OBSTACLE COURSE WITH MRBEAST
UgzM4ImGWyxmWVeqwxV4AaABAg,@kuaithegoat,UCBnGXX8NaOdfcGrM41F7Jhw,Anyone in 2026,3,2026-01-31T14:40:08Z,,AMP EXTREME OBSTACLE COURSE WITH MRBEAST
